l	U
100	252.89
103	251.84
105	251.43
107	251.38
109	251.58
110	251.7
112	251.75
115	251.79
117	251.84
120	251.95
123	255.89
124	260.91
125	266.62
127	268.75
128	270.12
130	271.21
137	268.64
142	267.57
152	267.15
160	269.73
170	271.27
190	276.75
215	284.31
230	292.23
255	299.9
272	304.29
293	311.58
310	316.95
330	323.33
348	329.4
368	334.93
