U	i
7.1138	0.0019
49.25	0.0066
75.329	0.0094
77.115	0.0095
110.657	0.0133
193.75	0.0232
335.62	0.0394
361.79	0.0423
385.55	0.0452
409.82	0.0473
410	0.0469
357	0.0493
292	0.0512
258	0.0562
225.7	0.0679
220.65	0.0713
200.94	0.0990
200.07	0.1257
203.13	0.2038
211.27	0.3233
222.69	0.5501
225.48	0.6699
231.5	0.8321
238.46	1.0317
250.77	1.4599
254.42	1.6023
263.23	1.9898
274.28	2.555
278.88	2.7277
289.12	3.4366
297.52	3.9199
304.33	4.3963
314.57	4.9998
