l	U
99	273.55
101	271.34
103	270.7
105	270.63
107	271.11
109	271.77
110	271.83
113	272.12
115	272.86
118	272.55
120	272.77
124	273.1
127	285.94
130	292.4
135	294.43
140	290.14
145	289.06
151	288.48
155	288.26
165	290.33
170	291.83
180	294.8
190	297.19
210	299.1
228	310.54
250	313.24
267	319.51
290	326.87
310	330.51
330	337.65
350	344.37
368	348.22
